2024/1/1	創世記1-3	2024/2/19	利未記15-16
2024/1/2	創世記4-6	2024/2/20	利未記17-18
2024/1/3	創世記7:1-9:17	2024/2/21	利未記19-20
2024/1/4	創世記9:18-11:32 	2024/2/22	利未記21-23
2024/1/5	創世記12-15	2024/2/23	利未記24-25
2024/1/6	創世記16-18	2024/2/24	利未記26-27
2024/1/8	創世記19:1-21:7	2024/2/26	民數記1-2
2024/1/9	創世記21:8-24:67	2024/2/27	民數記3-4
2024/1/10	創世記25:1-11	2024/2/28	民數記5-6
2024/1/11	創世記25:12-28:9	2024/2/29	民數記7
2024/1/12	創世記28:10-29:30	2024/3/1	民數記8—9
2024/1/13	創世記29:31-31:21	2024/3/2	民數記10
2024/1/15	創世記31:22-33	2024/3/4	民數記11-12
2024/1/16	創世記34-35	2024/3/5	民數記13-14
2024/1/17	創世記36-37	2024/3/6	民數記15-16
2024/1/18	創世記38-40	2024/3/7	民數記17-19
2024/1/19	創世記41-42	2024/3/8	民數記20-21
2024/1/20	創世記43-44	2024/3/9	民數記22-24
2024/1/22	創世記45-46	2024/3/11	民數記25-26
2024/1/23	創世記47-48	2024/3/12	民數記27-28
2024/1/24	創世記49-50	2024/3/13	民數記29-30
2024/1/25	出埃及記1-4	2024/3/14	民數記31-32
2024/1/26	出埃及記5-7	2024/3/15	民數記33-34
2024/1/27	出埃及記8-10	2024/3/16	民數記35-36
2024/1/29	出埃及記11-12	2024/3/18	申命記1-2
2024/1/30	出埃及記13-14	2024/3/19	申命記3-4
2024/1/31	出埃及記15-18	2024/3/20	申命記5-7
2024/2/1	出埃及記19-20	2024/3/21	申命記8-10
2024/2/2	出埃及記21-23	2024/3/22	申命記11-12
2024/2/3	出埃及記24-25	2024/3/23	申命記13-15
2024/2/5	出埃及記26-27	2024/3/25	申命記16-18
2024/2/6	出埃及記28-29	2024/3/26	申命記19-22
2024/2/7	出埃及記30-32	2024/3/27	申命記23-25
2024/2/8	出埃及記33-34	2024/3/28	申命記26-28
2024/2/9	出埃及記35-36	2024/3/29	申命記29-30
2024/2/10	出埃及記37-38	2024/3/30	申命記31-32
2024/2/12	出埃及記39T0	2024/4/1	約書亞記1-2
2024/2/13	利未記1-4	2024/4/2	約書亞記3-5
2024/2/14	利未記5-7	2024/4/3	約書亞記6—7
2024/2/15	利未記8—9	2024/4/4	約書亞記8—9
2024/2/16	利未記10-11	2024/4/5	約書亞記10-12
2024/2/17	利未記12-14	2024/4/6	約書亞記13-15
