2024/4/8	約書亞記16-18	2024/5/27	列王紀上19-20
2024/4/9	約書亞記19-20	2024/5/28	列王紀上21-22
2024/4/10	約書亞記21-22	2024/5/29	列王紀下1-2
2024/4/11	約書亞記23-24	2024/5/30	列王紀下3-4
2024/4/12	士師記1-3	2024/5/31	列王紀下5-7
2024/4/13	士師記4-6	2024/6/1	列王紀下8-9
2024/4/15	士師記7-8	2024/6/3	列王紀下10-12
2024/4/16	士師記9-11	2024/6/4	列王紀下13-14
2024/4/17	士師記12-13	2024/6/5	列王紀下15-17
2024/4/18	士師記14-16	2024/6/6	列王紀下18-19
2024/4/19	士師記17-19	2024/6/7	列王紀下20-22
2024/4/20	士師記20-21	2024/6/8	列王紀下23-25
2024/4/22	路得記1-4	2024/6/10	歷代志上1-2
2024/4/23	撒母耳記上1-2	2024/6/11	歷代志上3-4
2024/4/24	撒母耳記上3-6	2024/6/12	歷代志上5-6
2024/4/25	撒母耳記上7-9	2024/6/13	歷代志上7
2024/4/26	撒母耳記上10-12	2024/6/14	歷代志上8-9
2024/4/27	撒母耳記上13-15	2024/6/15	歷代志上10-11
2024/4/29	撒母耳記上16-17	2024/6/17	歷代志上12-13
2024/4/30	撒母耳記上18-19	2024/6/18	歷代志上14-16
2024/5/1	撒母耳記上20-21	2024/6/19	歷代志上17-19
2024/5/2	撒母耳記上22-24	2024/6/20	歷代志上20-22
2024/5/3	撒母耳記上2 5-27	2024/6/21	歷代志上23-25
2024/5/4	撒母耳記上28-3 1	2024/6/22	歷代志上26-27
2024/5/6	撒母耳記下1-2	2024/6/24	歷代志上28-29
2024/5/7	撒母耳記下3-6	2024/6/25	歷代志下1-5
2024/5/8	撒母耳記下7-9	2024/6/26	歷代志下6-7
2024/5/9	撒母耳記下10-12	2024/6/27	歷代志下8-10
2024/5/10	撒母耳記下13-14	2024/6/28	歷代志下11-15
2024/5/11	撒母耳記下15-17	2024/6/29	歷代志下16-18
2024/5/13	撒母耳記下18-19	2024/7/1	歷代志下19-21
2024/5/14	撒母耳記下20-22	2024/7/2	歷代志下22-25
2024/5/15	撒母耳記下23-24	2024/7/3	歷代志下26-29
2024/5/16	列王紀上1-2	2024/7/4	歷代志下30-3 1
2024/5/17	列王紀上3-4	2024/7/5	歷代志下32-34
2024/5/18	列王紀上5-6	2024/7/6	歷代志下35-36
2024/5/20	列王紀上7	2024/7/8	以斯拉記1-2
2024/5/21	列王紀上8	2024/7/9	以斯拉記3-5
2024/5/22	列王紀上9-10	2024/7/10	以斯拉記6-8
2024/5/23	列王紀上11-13	2024/7/11	以斯拉記9-10
2024/5/24	列王紀上14-15	2024/7/12	尼希米記1-4
2024/5/25	列王紀上16-18	2024/7/13	尼希米記5-7
